Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades (nº),Ar Cond,Direção Assistida,Combustível
SUB COMPACTO,VOLKSWAGEN,up!,1.0-12V,move,M-5,S,E,F
SUB COMPACTO,VOLKSWAGEN,up!,1.0-12V,move (I-Motion),MTA-5,S,E,F
SUB COMPACTO,VOLKSWAGEN,up! TSI,1.0-12V,move (Rodas aro 14"),M-5,S,E,F
SUB COMPACTO,VOLKSWAGEN,up! TSI,1.0-12V,move (Rodas aro 15"),M-5,S,E,F
SUB COMPACTO,VOLKSWAGEN,up! TSI,1.0-12V,pepper,M-5,S,E,F
SUB COMPACTO,VOLKSWAGEN,up! TSI,1.0-12V,cross,M-5,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4AT ACT,A-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4AT LTZ,A-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4MT ACT,M-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4MT EFF,M-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.0L-8V,1,0MT LT,M-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4AT ADV,A-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4AT LT,A-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4MT LT,M-6,S,E,F
COMPACTO,CHEVROLET,Onix (MY19),1.4L-8V,1,4MT LTZ,M-6,S,E,F
COMPACTO,CHEVROLET,Onix Joy (MY19),1.0L-8V,10MT JOYE,M-6,S,E,F
COMPACTO,CITROËN,C3,1.2-12V,Origine,M-5,S,E,F
COMPACTO,CITROËN,C3,1.2-12V,Attraction,M-5,S,E,F
COMPACTO,CITROËN,C3,1.2-12V,Tendance,M-5,S,E,F
COMPACTO,CITROËN,C3,1.6-16V,ATTRACTION A,A-6,S,E,F
COMPACTO,CITROËN,C3,1.6-16V,EXCLUSIVE A,A-6,S,E,F
COMPACTO,CITROËN,C3,1.6-16V,URBAN TRAIL A,A-6,S,E,F
COMPACTO,FIAT,Argo,1.0-6V,DRIVE ( com Stop & Start),M-5,S,E,F
COMPACTO,FIAT,Argo,1.3-8V,DRIVE ( com Stop & Start),M-5,S,E,F
COMPACTO,FIAT,Argo,1.3-8V,DRIVE GSR,MTA-5,S,E,F
COMPACTO,FIAT,Argo,1.8-16V,HGT,A-6,S,E,F
COMPACTO,FIAT,Argo,1.8-16V,HGT,M-5,S,E,F
COMPACTO,FIAT,Argo,1.8-16V,PRECISION,A-6,S,E,F
COMPACTO,FIAT,Argo,1.8-16V,PRECISION,M-5,S,E,F
COMPACTO,FIAT,Argo,1.0-6V,1,M-5,S,E,F
COMPACTO,FIAT,Argo,1.0-6V,DRIVE,M-5,S,E,F
COMPACTO,FIAT,Argo,1.3-8V,DRIVE,M-5,S,E,F
COMPACTO,FORD,Ka Hatch,1.0-12V,S,M-5,S,E,F
COMPACTO,FORD,Ka Hatch,1.0-12V,SE,M-5,S,E,F
COMPACTO,FORD,Ka Hatch,1.5-12V,FreeStyle,A-6,S,E,F
COMPACTO,FORD,Ka Hatch,1.5-12V,SE,A-6,S,E,F
COMPACTO,FORD,Ka Hatch,1.5-12V,Titanium,A-6,S,E,F
COMPACTO,FORD,Ka Hatch,1.5-12V,FreeStyle,M-5,S,E,F
COMPACTO,FORD,Ka Hatch,1.5-12V,SE,M-5,S,E,F
COMPACTO,FORD,New Fiesta Hatch,1.0-12V,SEL,DCT-6,S,E,G
COMPACTO,FORD,New Fiesta Hatch,1.6-16V,SE,DCT-6,S,E,F
COMPACTO,FORD,New Fiesta Hatch,1.6-16V,SEL,DCT-6,S,E,F
COMPACTO,FORD,New Fiesta Hatch,1.6-16V,SE,M-5,S,E,F
COMPACTO,FORD,New Fiesta Hatch,1.6-16V,SEL,M-5,S,E,F
COMPACTO,HONDA,Fit,1.5-16V,DX,M-5,S,E,F
COMPACTO,HONDA,Fit,1.5-16V,LX,M-5,S,E,F
COMPACTO,HONDA,Fit,1.5-16V,DX,CVT,S,E,F
COMPACTO,HONDA,Fit,1.5-16V,LX,CVT,S,E,F
COMPACTO,HONDA,Fit,1.5-16V,EX,CVT,S,E,F
COMPACTO,HONDA,Fit,1.5-16V,EXL,CVT,S,E,F
COMPACTO,HONDA,Fit,1.5-16V,PERSONAL,CVT,S,E,F
COMPACTO,HYUNDAI,HB20,1.0-12V,Unique,M-5,S,H,F
COMPACTO,HYUNDAI,HB20,1.0-12V,Comfort Plus,M-5,S,H,F
COMPACTO,HYUNDAI,HB20,1.0-12V,Style,M-5,S,H,F
COMPACTO,HYUNDAI,HB20,1.6-16V,Comfort Plus,M-6,S,H,F
COMPACTO,HYUNDAI,HB20,1.6-16V,Style,M-6,S,H,F
COMPACTO,HYUNDAI,HB20,1.6-16V,Comfort Plus,A-6,S,H,F
COMPACTO,HYUNDAI,HB20,1.6-16V,Style,A-6,S,H,F
COMPACTO,HYUNDAI,HB20,1.6-16V,Premium,A-6,S,H,F
COMPACTO,HYUNDAI,HB20,1.6-16V,Rspec,A-6,S,H,F
COMPACTO,HYUNDAI,HB20,1.0-12V Turbo,Comfort Plus,M-6,S,H,F
COMPACTO,HYUNDAI,HB20,1.0-12V Turbo,Style,M-6,S,H,F
COMPACTO,MINI,Cooper,1.5-12V,5P,DCT-7,S,E-H,G
COMPACTO,MINI,Cooper,2.0-16V,S 5P,DCT-7,S,E-H,G
COMPACTO,MINI,Cooper,1.5-12V,,DCT-7,S,E-H,G
COMPACTO,MINI,Cabrio,1.5-12V,Cooper,DCT-7,S,E-H,G
COMPACTO,NISSAN,New March,1.0-12V,10 Conforto,M-5,S,E,F
COMPACTO,NISSAN,New March,1.0-12V,10 S,M-5,S,E,F
COMPACTO,NISSAN,New March,1.0-12V,10 SV,M-5,S,E,F
COMPACTO,NISSAN,New March,1.6-16V,16 S,M-5,S,E,F
COMPACTO,NISSAN,New March,1.6-16V,16 SV,M-5,S,E,F
COMPACTO,NISSAN,New March,1.6-16V,16 SL,M-5,S,E,F
COMPACTO,NISSAN,New March,1.6-16V,16 SL,CVT,S,E,F
COMPACTO,NISSAN,New March,1.6-16V,16 SV,CVT,S,E,F
COMPACTO,PEUGEOT,208,1.6 THP 16V Flex,GT,M-6,S,E,F
COMPACTO,PEUGEOT,208,1.2-12V,Active MT,M-5,S,E,F
COMPACTO,PEUGEOT,208,1.2-12V,Act Pack MT,M-5,S,E,F
COMPACTO,PEUGEOT,208,1.2-12V,Allure MT,M-5,S,E,F
COMPACTO,PEUGEOT,208,1.6-16V,GRIFFE EAT6,A-6,S,E,F
COMPACTO,PEUGEOT,208,1.6-16V,ACTIVE PK AT,A-6,S,E,F
COMPACTO,RENAULT,Sandero,1.0-12V,Authentique,M-5,S,E-H,F
COMPACTO,RENAULT,Sandero,1.0-12V,Expression,M-5,S,E-H,F
COMPACTO,RENAULT,Sandero,1.6-16V,Dynamique,M-5,S,E-H,F
